product,deployed_asset,local_filename,manufacturer_product_page,source_type,reuse_basis,permission_status,verification_date,width,height,file_size_bytes,alt_text,notes
Jade Level One Yoga Mat,/images/products/jade-level-one-yoga-mat.webp,jade-level-one-yoga-mat.webp,https://jadeyoga.co.uk/jade-yoga-mats/jade-level-one-4mm-beginner/,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1200,1200,34552,Jade Level One Yoga Mat product image,Local optimised WebP; exact/current product match checked against the source register.
Manduka PROlite Yoga Mat 4.7mm,/images/products/manduka-prolite-yoga-mat-4-7mm.webp,manduka-prolite-yoga-mat-4-7mm.webp,https://mandukauk.co.uk/products/prolite-yoga-mat,Manufacturer/brand product image or exact-model retained asset,Official current manufacturer page used to verify the product; image stored locally for the comparison page.,Separate republication licence not independently confirmed,2026-08-18,1240,1034,375268,Manduka PROlite Yoga Mat 4.7mm product image,Local optimised WebP; exact/current product match checked against the source register.
Navigation/category visual: category bathroom,/images/navigation/category-bathroom.webp,category-bathroom.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,73036,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: category home comfort,/images/navigation/category-home-comfort.webp,category-home-comfort.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,114830,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: category kitchen,/images/navigation/category-kitchen.webp,category-kitchen.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,95260,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: category outdoor living,/images/navigation/category-outdoor-living.webp,category-outdoor-living.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,171496,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: category stillness and clarity,/images/navigation/category-stillness-and-clarity.webp,category-stillness-and-clarity.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,130626,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: category technology,/images/navigation/category-technology.webp,category-technology.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1400,900,90420,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: chosen by real people,/images/navigation/chosen-by-real-people.webp,chosen-by-real-people.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,450,300,17452,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide air fryers,/images/navigation/guide-air-fryers.webp,guide-air-fryers.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,64154,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide bathroom scales,/images/navigation/guide-bathroom-scales.webp,guide-bathroom-scales.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,30068,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide blenders,/images/navigation/guide-blenders.webp,guide-blenders.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,74044,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide bluetooth speakers,/images/navigation/guide-bluetooth-speakers.webp,guide-bluetooth-speakers.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,98904,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide coffee machines,/images/navigation/guide-coffee-machines.webp,guide-coffee-machines.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,70488,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide dehumidifiers,/images/navigation/guide-dehumidifiers.webp,guide-dehumidifiers.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,33490,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide desk lamps,/images/navigation/guide-desk-lamps.webp,guide-desk-lamps.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,48096,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide electric toothbrushes,/images/navigation/guide-electric-toothbrushes.webp,guide-electric-toothbrushes.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,56078,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide fans,/images/navigation/guide-fans.webp,guide-fans.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,76978,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide garden tools,/images/navigation/guide-garden-tools.webp,guide-garden-tools.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,173524,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide heaters,/images/navigation/guide-heaters.webp,guide-heaters.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,58106,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide meditation blankets,/images/navigation/guide-meditation-blankets.webp,guide-meditation-blankets.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,104258,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide meditation cushions,/images/navigation/guide-meditation-cushions.webp,guide-meditation-cushions.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,72998,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide outdoor lights,/images/navigation/guide-outdoor-lights.webp,guide-outdoor-lights.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,115260,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide patio heaters,/images/navigation/guide-patio-heaters.webp,guide-patio-heaters.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,118940,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide power banks,/images/navigation/guide-power-banks.webp,guide-power-banks.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,63920,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide shower heads,/images/navigation/guide-shower-heads.webp,guide-shower-heads.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,39048,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide singing bowls,/images/navigation/guide-singing-bowls.webp,guide-singing-bowls.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,71832,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide wireless earbuds,/images/navigation/guide-wireless-earbuds.webp,guide-wireless-earbuds.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,54812,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
Navigation/category visual: guide yoga mats,/images/navigation/guide-yoga-mats.webp,guide-yoga-mats.webp,,Restored/derived from image in user-supplied original website package,Reused at site owner direction from the supplied existing website; cropped and optimised locally for navigation presentation.,Historical third-party reuse rights not independently re-verified in this correction,2026-08-18,1200,720,81330,Decorative/category navigation photograph,Used for homepage/category navigation rather than as evidence of an exact recommended product.
